period,part_svyid,group,awakening_christian_faith,overall_course,discovery_relevancy,discovery_recommend,la_vida_powerful_exp
2022 FA,17838778581,Core,1,3,NA,NA,NA
2022 FA,41124265881,Core,5,5,NA,NA,NA
2022 FA,24653160861,Core,5,5,NA,NA,NA
2022 FA,41167068381,Core,4,2,NA,NA,NA
2022 FA,17067075711,Core,5,5,NA,NA,NA
2022 FA,41558269421,Core,4,5,NA,NA,NA
2022 FA,2656729861,Core,5,5,NA,NA,NA
2022 FA,19020337511,Core,4,5,NA,NA,NA
2022 FA,42615886931,Core,5,5,NA,NA,NA
2022 FA,41150764491,Core,5,5,NA,NA,NA
2022 FA,2108411611,Core,5,5,NA,NA,NA
2022 FA,39423662291,Core,5,5,NA,NA,NA
2022 FA,20822351151,Core,4,4,NA,NA,NA
2022 FA,37380201701,Core,5,5,NA,NA,NA
2022 FA,32563166671,Core,5,5,NA,NA,NA
2022 FA,20984281671,Core,5,5,NA,NA,NA
2022 FA,5324734291,Core,5,4,NA,NA,NA
2022 FA,10631995231,Core,2,4,NA,NA,NA
2022 FA,18096362481,Core,3,4,NA,NA,NA
2022 FA,32735240601,Core,1,3,NA,NA,NA
2022 FA,2607998961,Core,5,5,NA,NA,NA
2022 FA,3687524221,Core,4,4,NA,NA,NA
2022 FA,34564612771,Core,1,3,NA,NA,NA
2022 FA,4020455951,Core,3,4,NA,NA,NA
2022 FA,38273157511,Core,5,5,NA,NA,NA
2022 FA,28656443371,Core,4,4,NA,NA,NA
2022 FA,37449529881,Core,4,4,NA,NA,NA
2022 FA,40915802221,Core,4,4,NA,NA,NA
2022 FA,16732876531,Core,2,3,NA,NA,NA
2022 FA,23066758111,Core,4,3,NA,NA,NA
2022 FA,28636916191,Core,4,5,NA,NA,NA
2022 FA,30353865041,Core,5,5,NA,NA,NA
2022 FA,34321295841,Core,5,5,NA,NA,NA
2022 FA,9187982671,Core,4,4,NA,NA,NA
2022 FA,37677493631,Core,5,4,NA,NA,NA
2022 FA,19519465671,Core,4,5,NA,NA,NA
2022 FA,40501353941,Core,3,3,NA,NA,NA
2022 FA,16575479561,Core,5,5,NA,NA,NA
2022 FA,20704372351,Core,4,3,NA,NA,NA
2022 FA,9591578791,Core,4,3,NA,NA,NA
2022 FA,34950017231,Core,4,3,NA,NA,NA
2022 FA,6999873141,Core,4,4,NA,NA,NA
2022 FA,36391603711,Core,5,3,NA,NA,NA
2022 FA,82824701,Core,3,2,NA,NA,NA
2022 FA,36576239051,Core,3,5,NA,NA,NA
2022 FA,18694980681,Core,4,3,NA,NA,NA
2022 FA,25505755251,Core,4,3,NA,NA,NA
2022 FA,15069352931,Core,1,1,NA,NA,NA
2022 FA,22075534231,Core,4,3,NA,NA,NA
2022 FA,37194178811,Core,3,2,NA,NA,NA
2022 FA,30400612121,Core,4,1,NA,NA,NA
2022 FA,6870411501,Core,5,3,NA,NA,NA
2022 FA,31138721311,Core,5,5,NA,NA,NA
2022 FA,14870768531,Core,5,3,NA,NA,NA
2022 FA,987789421,Core,3,3,NA,NA,NA
2022 FA,30241781071,Core,3,3,NA,NA,NA
2022 FA,11180218951,Core,5,4,NA,NA,NA
2022 FA,33368248301,Core,4,2,NA,NA,NA
2022 FA,9744001861,Core,2,3,NA,NA,NA
2022 FA,7268727411,Core,3,3,NA,NA,NA
2022 FA,28094414091,Core,2,2,NA,NA,NA
2022 FA,20187003661,Core,5,5,NA,NA,NA
2022 FA,42748799511,Core,2,4,NA,NA,NA
2022 FA,5529290921,Core,4,5,NA,NA,NA
2022 FA,15555329021,Core,3,3,NA,NA,NA
2022 FA,15688629771,Core,4,4,NA,NA,NA
2022 FA,21993783771,Core,5,4,NA,NA,NA
2022 FA,9918058501,Core,4,3,NA,NA,NA
2022 FA,42545635831,Core,3,4,NA,NA,NA
2022 FA,33918473841,Core,3,3,NA,NA,NA
2022 FA,12669313071,Core,3,4,NA,NA,NA
2022 FA,32096949741,Core,4,4,NA,NA,NA
2022 FA,15117732861,Core,4,3,NA,NA,NA
2022 FA,12320854921,Core,2,3,NA,NA,NA
2022 FA,31892196631,Core,5,5,NA,NA,NA
2022 FA,2130568581,Core,5,4,NA,NA,NA
2022 FA,36651318271,Core,3,5,NA,NA,NA
2022 FA,5343172561,Core,1,1,NA,NA,NA
2022 FA,2752748961,Core,4,4,NA,NA,NA
2022 FA,19909362711,Discovery,4,5,10,2,NA
2022 FA,13851265161,Discovery,5,5,10,2,NA
2022 FA,30483527561,Discovery,4,5,6,2,NA
2022 FA,7240737611,Discovery,3,4,5,2,NA
2022 FA,29342367301,Discovery,5,5,9,2,NA
2022 FA,16601358691,Discovery,5,5,10,2,NA
2022 FA,22892885681,Discovery,3,4,8,2,NA
2022 FA,5637572711,Discovery,5,5,10,2,NA
2022 FA,6960565651,Discovery,3,2,1,1,NA
2022 FA,10891118301,Discovery,5,5,10,2,NA
2022 FA,24926930581,Discovery,5,4,8,2,NA
2022 FA,39317456931,Discovery,4,3,5,2,NA
2022 FA,30479034071,Discovery,4,4,8,2,NA
2022 FA,16785300751,Discovery,5,4,7,2,NA
2022 FA,8834944591,Discovery,4,5,9,2,NA
2022 FA,32010915431,Discovery,5,5,9,2,NA
2022 FA,22033047531,Discovery,5,5,10,2,NA
2022 FA,37578855521,Discovery,4,5,10,2,NA
2022 FA,426094801,Discovery,2,5,4,2,NA
2022 FA,28574833321,Discovery,2,3,2,NA,NA
2022 FA,16697370071,Discovery,4,5,9,2,NA
2022 FA,39980181561,Discovery,5,5,9,2,NA
2022 FA,20028329731,Discovery,5,5,7,2,NA
2022 FA,41333959931,Discovery,5,5,8,2,NA
2022 FA,18651751221,Discovery,5,5,10,2,NA
2022 FA,1430071501,Discovery,5,5,8,2,NA
2022 FA,14328634661,Discovery,4,5,10,2,NA
2022 FA,39289139661,Discovery,5,5,10,2,NA
2022 FA,16487386131,Discovery,4,5,10,2,NA
2022 FA,21011768751,Discovery,3,4,6,NA,NA
2022 FA,40801496751,Discovery,5,5,8,2,NA
2022 FA,41681517711,Discovery,5,5,10,2,NA
2022 FA,23694046101,Discovery,5,5,7,NA,NA
2022 FA,14534457152,Core,4,4,NA,NA,NA
2022 FA,29471677092,Core,5,5,NA,NA,NA
2022 FA,29491788522,Core,5,5,NA,NA,NA
2022 FA,2370431752,Core,5,5,NA,NA,NA
2022 FA,10969034562,Core,5,5,NA,NA,NA
2022 FA,10907635452,Core,5,5,NA,NA,NA
2022 FA,37675724432,Core,5,4,NA,NA,NA
2022 FA,14810041932,Core,5,5,NA,NA,NA
2022 FA,20075023322,Core,5,5,NA,NA,NA
2022 FA,36293970822,Core,5,5,NA,NA,NA
2022 FA,38780859352,Core,5,5,NA,NA,NA
2022 FA,42838563682,Core,5,5,NA,NA,NA
2022 FA,38291842542,Core,5,5,NA,NA,NA
2022 FA,30850268222,Core,4,5,NA,NA,NA
2022 FA,23653980982,Core,5,5,NA,NA,NA
2022 FA,38339748262,Core,5,5,NA,NA,NA
2022 FA,27367031322,Core,5,5,NA,NA,NA
2022 FA,5880459422,Core,5,5,NA,NA,NA
2022 FA,20593775202,Core,3,4,NA,NA,NA
2022 FA,17709050552,Core,5,5,NA,NA,NA
2022 FA,2302064382,Core,4,5,NA,NA,NA
2022 FA,3460025352,Core,5,5,NA,NA,NA
2022 FA,9645459532,Core,4,5,NA,NA,NA
2022 FA,22157385482,Core,3,2,NA,NA,NA
2022 FA,12371226922,Core,5,5,NA,NA,NA
2022 FA,40035523262,Core,4,5,NA,NA,NA
2022 FA,25842111112,Core,4,4,NA,NA,NA
2022 FA,14693009762,Core,5,5,NA,NA,NA
2022 FA,5019756412,Core,4,4,NA,NA,NA
2022 FA,12855994272,Core,5,5,NA,NA,NA
2022 FA,35760453552,Core,4,3,NA,NA,NA
2022 FA,35393249622,Core,5,5,NA,NA,NA
2022 FA,42654649422,Core,4,5,NA,NA,NA
2022 FA,3591846612,Core,5,5,NA,NA,NA
2022 FA,32903794832,Core,3,5,NA,NA,NA
2022 FA,25781594422,Core,4,5,NA,NA,NA
2022 FA,5944151832,Core,4,4,NA,NA,NA
2022 FA,34203945292,Core,5,5,NA,NA,NA
2022 FA,1769269822,Core,5,5,NA,NA,NA
2022 FA,28165884992,Core,4,5,NA,NA,NA
2022 FA,35962186312,Core,3,4,NA,NA,NA
2022 FA,2159108912,Core,4,4,NA,NA,NA
2022 FA,9706889202,Core,5,4,NA,NA,NA
2022 FA,7539043042,Core,5,5,NA,NA,NA
2022 FA,26012652662,Core,4,5,NA,NA,NA
2022 FA,31550612082,Core,5,5,NA,NA,NA
2022 FA,19780038272,Core,4,4,NA,NA,NA
2022 FA,13230881422,Core,4,5,NA,NA,NA
2022 FA,27200839012,Core,5,5,NA,NA,NA
2022 FA,13533379422,Core,5,4,NA,NA,NA
2022 FA,25904767802,Core,5,4,NA,NA,NA
2022 FA,30178607642,Core,4,4,NA,NA,NA
2022 FA,38568945182,Core,5,4,NA,NA,NA
2022 FA,38543802542,Core,4,5,NA,NA,NA
2022 FA,12600754452,Core,5,4,NA,NA,NA
2022 FA,26346982292,Core,4,5,NA,NA,NA
2022 FA,10996389272,Core,3,3,NA,NA,NA
2022 FA,35457653292,Core,5,4,NA,NA,NA
2022 FA,26935620582,Core,4,4,NA,NA,NA
2022 FA,36162310042,Core,5,4,NA,NA,NA
2022 FA,3632715902,Core,5,4,NA,NA,NA
2022 FA,26929587632,Core,5,5,NA,NA,NA
2022 FA,30058703512,Core,5,4,NA,NA,NA
2022 FA,21736527862,Core,3,4,NA,NA,NA
2022 FA,34696627092,Core,4,5,NA,NA,NA
2022 FA,21598939052,Core,5,5,NA,NA,NA
2022 FA,33221890702,Core,5,4,NA,NA,NA
2022 FA,27535851352,Core,5,5,NA,NA,NA
2022 FA,3208057652,Core,5,4,NA,NA,NA
2022 FA,9155750772,Core,5,5,NA,NA,NA
2022 FA,9151508732,Core,5,4,NA,NA,NA
2022 FA,9925094472,Core,4,5,NA,NA,NA
2022 FA,31137012592,Core,4,5,NA,NA,NA
2022 FA,10554520092,Core,5,4,NA,NA,NA
2022 FA,39224996792,Core,5,5,NA,NA,NA
2022 FA,13374178572,Core,4,4,NA,NA,NA
2022 FA,12404561912,Core,4,4,NA,NA,NA
2022 FA,39493870052,Core,3,5,NA,NA,NA
2022 FA,27501163472,Core,5,5,NA,NA,NA
2022 FA,17286131402,Core,4,4,NA,NA,NA
2022 FA,15474506032,Core,4,5,NA,NA,NA
2022 FA,30456976962,Core,4,4,NA,NA,NA
2022 FA,16283685312,Core,5,4,NA,NA,NA
2022 FA,106657212,Core,3,5,NA,NA,NA
2022 FA,29556689832,Core,3,3,NA,NA,NA
2022 FA,26839435302,Core,3,4,NA,NA,NA
2022 FA,33231534892,Core,5,5,NA,NA,NA
2022 FA,36212846472,Core,5,5,NA,NA,NA
2022 FA,40194086132,Core,4,5,NA,NA,NA
2022 FA,42038695152,Core,4,5,NA,NA,NA
2022 FA,37072459512,Core,3,3,NA,NA,NA
2022 FA,7631385422,Core,4,5,NA,NA,NA
2022 FA,15575601322,Core,5,5,NA,NA,NA
2022 FA,10577268322,Core,5,5,NA,NA,NA
2022 FA,40024578602,Core,4,3,NA,NA,NA
2022 FA,35767818052,Core,5,5,NA,NA,NA
2022 FA,4892816122,Core,5,5,NA,NA,NA
2022 FA,14531861952,Core,5,5,NA,NA,NA
2022 FA,38638235372,Core,5,5,NA,NA,NA
2022 FA,41646678962,Core,5,5,NA,NA,NA
2022 FA,767045452,Core,4,4,NA,NA,NA
2022 FA,31764144682,Core,5,5,NA,NA,NA
2022 FA,22572434762,Core,4,4,NA,NA,NA
2022 FA,11687014322,Core,5,5,NA,NA,NA
2022 FA,35846803132,Core,5,5,NA,NA,NA
2022 FA,19428087142,Core,5,5,NA,NA,NA
2022 FA,18775675852,Core,5,5,NA,NA,NA
2022 FA,24809432372,Core,5,5,NA,NA,NA
2022 FA,23212533522,Core,5,5,NA,NA,NA
2022 FA,32298861212,Core,3,4,NA,NA,NA
2022 FA,31582854662,Core,4,5,NA,NA,NA
2022 FA,34804339242,Core,4,4,NA,NA,NA
2022 FA,4182735272,Core,5,5,NA,NA,NA
2022 FA,11775923132,Core,4,5,NA,NA,NA
2022 FA,11915526552,Core,4,5,NA,NA,NA
2022 FA,6386196972,Core,3,3,NA,NA,NA
2022 FA,22827242552,Core,5,5,NA,NA,NA
2022 FA,30013144892,Core,5,5,NA,NA,NA
2022 FA,8973210632,Core,4,5,NA,NA,NA
2022 FA,11816465922,Core,5,5,NA,NA,NA
2022 FA,13897742352,Core,5,4,NA,NA,NA
2022 FA,37558867022,Core,5,4,NA,NA,NA
2022 FA,32490611742,Core,5,4,NA,NA,NA
2022 FA,12721842942,Core,5,5,NA,NA,NA
2022 FA,9915297972,Core,5,5,NA,NA,NA
2022 FA,33856097982,Core,4,4,NA,NA,NA
2022 FA,11153717612,Core,5,5,NA,NA,NA
2022 FA,907471272,Core,5,5,NA,NA,NA
2022 FA,28135013522,Core,4,4,NA,NA,NA
2022 FA,25827830872,Core,5,5,NA,NA,NA
2022 FA,6397228672,Core,2,5,NA,NA,NA
2022 FA,14508617582,Core,4,4,NA,NA,NA
2022 FA,16872153812,Core,5,5,NA,NA,NA
2022 FA,33988408992,Core,5,5,NA,NA,NA
2022 FA,6343875052,Core,5,5,NA,NA,NA
2022 FA,26337378742,Core,4,4,NA,NA,NA
2022 FA,38543917852,Core,5,5,NA,NA,NA
2022 FA,16013157172,Core,5,4,NA,NA,NA
2022 FA,32665064712,Core,4,5,NA,NA,NA
2022 FA,25085207462,Core,5,5,NA,NA,NA
2022 FA,36305451612,Core,5,5,NA,NA,NA
2022 FA,32596710422,Core,5,5,NA,NA,NA
2022 FA,28927469772,Core,5,5,NA,NA,NA
2022 FA,35953045252,Core,4,3,NA,NA,NA
2022 FA,30723201942,Core,4,5,NA,NA,NA
2022 FA,35210175212,Core,4,4,NA,NA,NA
2022 FA,33098699572,Core,5,5,NA,NA,NA
2022 FA,9851337522,Core,5,5,NA,NA,NA
2022 FA,3259912002,Core,5,4,NA,NA,NA
2022 FA,4283707502,Core,3,3,NA,NA,NA
2022 FA,8058351632,Core,4,5,NA,NA,NA
2022 FA,7245354602,Core,3,2,NA,NA,NA
2022 FA,2253494682,Core,5,5,NA,NA,NA
2022 FA,31436172362,Core,5,5,NA,NA,NA
2022 FA,1983088942,Core,5,4,NA,NA,NA
2022 FA,2980194152,Core,3,4,NA,NA,NA
2022 FA,17966361552,Core,4,4,NA,NA,NA
2022 FA,37671353602,Core,5,4,NA,NA,NA
2022 FA,27270605962,Core,5,5,NA,NA,NA
2022 FA,35779898912,Core,5,5,NA,NA,NA
2022 FA,8960423922,Core,3,2,NA,NA,NA
2022 FA,33083304452,Core,5,5,NA,NA,NA
2022 FA,38904894972,Core,5,5,NA,NA,NA
2022 FA,32363256832,Core,5,5,NA,NA,NA
2022 FA,3079691102,Core,5,4,NA,NA,NA
2022 FA,28136626862,Core,5,4,NA,NA,NA
2022 FA,14364805372,Core,4,3,NA,NA,NA
2022 FA,712692102,Core,5,5,NA,NA,NA
2022 FA,968201882,Core,3,4,NA,NA,NA
2022 FA,9439418592,Core,5,5,NA,NA,NA
2022 FA,40259161092,Core,5,5,NA,NA,NA
2022 FA,15556447312,Core,5,5,NA,NA,NA
2022 FA,11009823582,Core,5,5,NA,NA,NA
2022 FA,37596973042,Core,5,5,NA,NA,NA
2022 FA,18397938492,Core,4,3,NA,NA,NA
2022 FA,35703896802,Core,5,5,NA,NA,NA
2022 FA,2711568272,Core,5,5,NA,NA,NA
2022 FA,9589681722,Core,5,5,NA,NA,NA
2022 FA,16612596952,Core,5,5,NA,NA,NA
2022 FA,16508242282,Core,4,5,NA,NA,NA
2022 FA,10983875792,Core,3,2,NA,NA,NA
2022 FA,3632663742,Core,5,4,NA,NA,NA
2022 FA,28718602502,Core,4,2,NA,NA,NA
2022 FA,42683568682,Core,5,5,NA,NA,NA
2022 FA,8691776992,Core,4,3,NA,NA,NA
2022 FA,25734899362,Core,5,5,NA,NA,NA
2022 FA,14432752882,Core,5,4,NA,NA,NA
2022 FA,23874160562,Core,5,5,NA,NA,NA
2022 FA,38832480012,Core,4,4,NA,NA,NA
2022 FA,2635609752,Core,5,4,NA,NA,NA
2022 FA,19470339352,Core,5,5,NA,NA,NA
2022 FA,1827766802,Core,4,3,NA,NA,NA
2022 FA,2437646522,Core,4,4,NA,NA,NA
2022 FA,6367479262,Core,5,5,NA,NA,NA
2022 FA,18697479462,Core,3,3,NA,NA,NA
2022 FA,25770096052,Core,2,3,NA,NA,NA
2022 FA,15587020352,Core,4,5,NA,NA,NA
2022 FA,35041211222,Core,3,4,NA,NA,NA
2022 FA,18372284052,Core,5,3,NA,NA,NA
2022 FA,6732642492,Core,5,5,NA,NA,NA
2022 FA,4045816692,Core,5,4,NA,NA,NA
2022 FA,6866917212,Core,4,4,NA,NA,NA
2022 FA,6508855032,Core,4,4,NA,NA,NA
2022 FA,37702163722,Core,5,5,NA,NA,NA
2022 FA,20250588782,Core,4,4,NA,NA,NA
2022 FA,29136027522,Core,5,5,NA,NA,NA
2022 FA,2953465552,Core,3,4,NA,NA,NA
2022 FA,2074713912,Core,2,3,NA,NA,NA
2022 FA,2734542612,Core,3,3,NA,NA,NA
2022 FA,4770958112,Core,2,4,NA,NA,NA
2022 FA,24358536502,Core,4,4,NA,NA,NA
2022 FA,27285517532,Core,5,5,NA,NA,NA
2022 FA,32521330572,Core,4,4,NA,NA,NA
2022 FA,35876210062,Core,5,5,NA,NA,NA
2022 FA,9320904442,Core,2,4,NA,NA,NA
2022 FA,34343916412,Core,4,4,NA,NA,NA
2022 FA,1368365642,Core,2,2,NA,NA,NA
2022 FA,22949306202,Core,4,5,NA,NA,NA
2022 FA,16131277382,Core,3,4,NA,NA,NA
2022 FA,14182642132,Core,4,4,NA,NA,NA
2022 FA,11028822202,Core,5,4,NA,NA,NA
2022 FA,38722715732,Core,2,1,NA,NA,NA
2022 FA,26424632902,Core,5,5,NA,NA,NA
2022 FA,7446366032,Core,3,5,NA,NA,NA
2022 FA,41553491402,Core,3,3,NA,NA,NA
2022 FA,2140802332,Core,5,4,NA,NA,NA
2022 FA,42640681442,Core,5,5,NA,NA,NA
2022 FA,29930959012,Core,3,1,NA,NA,NA
2022 FA,7112062042,Core,5,5,NA,NA,NA
2022 FA,34903617392,Core,1,1,NA,NA,NA
2022 FA,32183357352,Core,5,5,NA,NA,NA
2022 FA,20083115352,Core,3,4,NA,NA,NA
2022 FA,34760361472,Core,2,1,NA,NA,NA
2022 FA,36095403692,Core,4,3,NA,NA,NA
2022 FA,26566084742,Core,5,5,NA,NA,NA
2022 FA,31032232862,Core,5,4,NA,NA,NA
2022 FA,15086960242,Core,2,2,NA,NA,NA
2022 FA,12897201162,Core,2,3,NA,NA,NA
2022 FA,42030316362,Core,2,4,NA,NA,NA
2022 FA,17341840792,Core,5,5,NA,NA,NA
2022 FA,42307398602,Core,4,4,NA,NA,NA
2022 FA,2630312642,Core,2,3,NA,NA,NA
2022 FA,13181192622,Core,3,4,NA,NA,NA
2022 FA,37963115472,Core,3,4,NA,NA,NA
2022 FA,12479427862,Core,4,4,NA,NA,NA
2022 FA,25406597872,Core,4,5,NA,NA,NA
2022 FA,10273400132,Core,4,4,NA,NA,NA
2022 FA,5461049692,Core,4,4,NA,NA,NA
2022 FA,38577793592,Core,3,5,NA,NA,NA
2022 FA,15195020802,Core,3,4,NA,NA,NA
2022 FA,9938911782,Core,3,3,NA,NA,NA
2022 FA,7648674782,Core,3,4,NA,NA,NA
2022 FA,28641816602,Core,3,3,NA,NA,NA
2022 FA,5983917042,Core,5,5,NA,NA,NA
2022 FA,27547830632,Core,2,5,NA,NA,NA
2022 FA,19984145252,Core,4,5,NA,NA,NA
2022 FA,23333233112,Core,4,4,NA,NA,NA
2022 FA,24418905812,Core,3,3,NA,NA,NA
2022 FA,27082945742,Core,4,4,NA,NA,NA
2022 FA,39838894312,Core,2,3,NA,NA,NA
2022 FA,19885695792,Core,5,5,NA,NA,NA
2022 FA,17099452772,Core,1,2,NA,NA,NA
2022 FA,33680496612,Core,NA,4,NA,NA,NA
2022 FA,33487813842,Core,4,4,NA,NA,NA
2022 FA,33765338822,Core,4,3,NA,NA,NA
2022 FA,40190915372,Core,5,5,NA,NA,NA
2022 FA,4268097512,Core,5,5,NA,NA,NA
2022 FA,1709610712,Core,3,5,NA,NA,NA
2022 FA,7414903652,Core,3,3,NA,NA,NA
2022 FA,42745133082,Core,4,3,NA,NA,NA
2022 FA,41895050062,Core,3,3,NA,NA,NA
2022 FA,29431862892,Core,4,5,NA,NA,NA
2022 FA,20074682912,Core,5,5,NA,NA,NA
2022 FA,26833825922,Core,5,5,NA,NA,NA
2022 FA,7108805402,Core,5,5,NA,NA,NA
2022 FA,23892667802,Core,2,1,NA,NA,NA
2022 FA,7538858872,Core,4,4,NA,NA,NA
2022 FA,17436048042,Core,4,5,NA,NA,NA
2022 FA,42548997342,Core,5,5,NA,NA,NA
2022 FA,32548007212,Core,2,3,NA,NA,NA
2022 FA,2683673862,Core,5,5,NA,NA,NA
2022 FA,27932634212,Core,4,4,NA,NA,NA
2022 FA,8467755892,Core,4,4,NA,NA,NA
2022 FA,5022724762,Core,4,5,NA,NA,NA
2022 FA,7051893702,Core,4,5,NA,NA,NA
2022 FA,21476397322,Core,5,5,NA,NA,NA
2022 FA,23809157542,Core,3,3,NA,NA,NA
2022 FA,25251919892,Core,3,3,NA,NA,NA
2022 FA,29807904982,Core,5,4,NA,NA,NA
2022 FA,23707679492,Core,3,4,NA,NA,NA
2022 FA,5829300252,Core,5,5,NA,NA,NA
2022 FA,33810149612,Core,4,4,NA,NA,NA
2022 FA,40585906032,Core,4,5,NA,NA,NA
2022 FA,4824150302,Core,4,2,NA,NA,NA
2022 FA,32513775182,Core,4,4,NA,NA,NA
2022 FA,27049459922,Core,2,4,NA,NA,NA
2022 FA,42554449552,Core,5,4,NA,NA,NA
2022 FA,10624368572,Core,5,5,NA,NA,NA
2022 FA,39578703632,Core,4,4,NA,NA,NA
2022 FA,33752058982,Core,1,1,NA,NA,NA
2022 FA,10465723782,Core,4,5,NA,NA,NA
2022 FA,30643817282,Core,5,4,NA,NA,NA
2022 FA,33797777792,Core,4,5,NA,NA,NA
2022 FA,21271267962,Core,1,1,NA,NA,NA
2022 FA,3572580772,Core,4,3,NA,NA,NA
2022 FA,34122875642,Core,5,5,NA,NA,NA
2022 FA,26966722332,Core,4,3,NA,NA,NA
2022 FA,9886675892,Core,3,2,NA,NA,NA
2022 FA,6203626602,Core,3,4,NA,NA,NA
2022 FA,6800156682,Core,4,4,NA,NA,NA
2022 FA,38707561782,Core,3,3,NA,NA,NA
2022 FA,6783997692,Core,4,4,NA,NA,NA
2022 FA,18037502112,Core,4,5,NA,NA,NA
2022 FA,9372911902,Core,5,5,NA,NA,NA
2022 FA,22518463702,Core,4,4,NA,NA,NA
2022 FA,13366362912,Core,4,4,NA,NA,NA
2022 FA,32487530402,Core,5,5,NA,NA,NA
2022 FA,2303479312,Core,4,5,NA,NA,NA
2022 FA,35435048332,Core,3,4,NA,NA,NA
2022 FA,35345644112,Core,3,4,NA,NA,NA
2022 FA,7153854092,Core,1,3,NA,NA,NA
2022 FA,15411767972,Core,4,4,NA,NA,NA
2022 FA,30294204382,Core,3,4,NA,NA,NA
2022 FA,15493166432,Core,4,4,NA,NA,NA
2022 FA,41921313442,Core,4,3,NA,NA,NA
2022 FA,7467515912,Core,4,5,NA,NA,NA
2022 FA,6754968582,Core,4,5,NA,NA,NA
2022 FA,19943750082,Core,4,5,NA,NA,NA
2022 FA,2704125632,Core,5,5,NA,NA,NA
2022 FA,6649610702,Core,4,5,NA,NA,NA
2022 FA,37126257612,Core,4,4,NA,NA,NA
2022 FA,39945235002,Core,5,5,NA,NA,NA
2022 FA,14300446502,Core,5,5,NA,NA,NA
2022 FA,30358236762,Core,4,5,NA,NA,NA
2022 FA,18510247982,Core,3,3,NA,NA,NA
2022 FA,6823358142,Core,5,4,NA,NA,NA
2022 FA,644924122,Core,5,3,NA,NA,NA
2022 FA,13620075192,Core,4,5,NA,NA,NA
2022 FA,27937870422,Core,5,5,NA,NA,NA
2022 FA,2345314232,Core,5,3,NA,NA,NA
2022 FA,27021666632,Core,3,4,NA,NA,NA
2022 FA,27278634472,Core,5,5,NA,NA,NA
2022 FA,2802675622,Core,5,5,NA,NA,NA
2022 FA,34949205592,Core,5,5,NA,NA,NA
2022 FA,29814575862,Core,5,5,NA,NA,NA
2022 FA,7714691902,Core,4,5,NA,NA,NA
2022 FA,38115164232,Core,4,3,NA,NA,NA
2022 FA,12829620052,Core,5,5,NA,NA,NA
2022 FA,14803582202,Core,3,4,NA,NA,NA
2022 FA,33003927312,Core,4,4,NA,NA,NA
2022 FA,3478075862,Core,3,3,NA,NA,NA
2022 FA,35035841092,Core,3,4,NA,NA,NA
2022 FA,13621149232,Core,2,4,NA,NA,NA
2022 FA,11193579132,Core,5,5,NA,NA,NA
2022 FA,27870131392,Core,5,3,NA,NA,NA
2022 FA,40948033762,Core,3,3,NA,NA,NA
2022 FA,23151126522,Core,4,4,NA,NA,NA
2022 FA,42674442852,Core,5,5,NA,NA,NA
2022 FA,38045369392,Core,4,4,NA,NA,NA
2022 FA,22451800842,Core,5,4,NA,NA,NA
2022 FA,9411111772,Core,5,5,NA,NA,NA
2022 FA,6411412452,Core,3,3,NA,NA,NA
2022 FA,15622585732,Core,3,4,NA,NA,NA
2022 FA,29540344392,Core,5,5,NA,NA,NA
2022 FA,23528257622,Core,5,5,NA,NA,NA
2022 FA,26049228172,Core,5,5,NA,NA,NA
2022 FA,3882446472,Core,3,4,NA,NA,NA
2022 FA,26534153272,Core,5,5,NA,NA,NA
2022 FA,17937113422,Core,5,4,NA,NA,NA
2022 FA,16373821432,Core,4,5,NA,NA,NA
2022 FA,18054870582,Core,4,5,NA,NA,NA
2022 FA,14489341412,Core,4,4,NA,NA,NA
2022 FA,13585876932,Core,5,5,NA,NA,NA
2022 FA,41874320032,Core,5,5,NA,NA,NA
2022 FA,864671702,Core,2,3,NA,NA,NA
2022 FA,5806666522,Core,3,2,NA,NA,NA
2022 FA,8339429142,Core,4,4,NA,NA,NA
2022 FA,40407631112,Core,4,5,NA,NA,NA
2022 FA,32473838022,Core,5,5,NA,NA,NA
2022 FA,35921247762,Core,5,5,NA,NA,NA
2022 FA,20944707252,Core,5,4,NA,NA,NA
2022 FA,8325682792,Core,4,4,NA,NA,NA
2022 FA,17242989022,Core,5,5,NA,NA,NA
2022 FA,40770729972,Core,3,3,NA,NA,NA
2022 FA,26169565702,Core,5,5,NA,NA,NA
2022 FA,17417035542,Core,5,4,NA,NA,NA
2022 FA,25996617972,Core,3,3,NA,NA,NA
2022 FA,14390280662,Core,3,4,NA,NA,NA
2022 FA,37298600062,Core,3,4,NA,NA,NA
2022 FA,8118134502,Core,5,5,NA,NA,NA
2022 FA,17838778582,Core,1,3,NA,NA,NA
2022 FA,41124265882,Core,5,5,NA,NA,NA
2022 FA,24653160862,Core,5,5,NA,NA,NA
2022 FA,41167068382,Core,4,2,NA,NA,NA
2022 FA,17067075712,Core,5,5,NA,NA,NA
2022 FA,41558269422,Core,4,5,NA,NA,NA
2022 FA,2656729862,Core,5,5,NA,NA,NA
2022 FA,19020337512,Core,4,5,NA,NA,NA
2022 FA,42615886932,Core,5,5,NA,NA,NA
2022 FA,41150764492,Core,5,5,NA,NA,NA
2022 FA,2108411612,Core,5,5,NA,NA,NA
2022 FA,39423662292,Core,5,5,NA,NA,NA
2022 FA,20822351152,Core,4,4,NA,NA,NA
2022 FA,37380201702,Core,5,5,NA,NA,NA
