ID_NUM,YR_CDE,TRM_CDE,SUBTERM_CDE,STUD_SEQ_NUM,TRANSACTION_STS,CRS_CDE,ADV_REQ_CDE,CRS_TITLE,GRADE_CDE,ENTRY_DTE,ENTRY_YR,ENTRY_TRM,YR_LA_VIDA_TAKEN,PRE_POST_FY
50217157,2020,SU,NA,1,D,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50217341,2020,SP,4Q,1,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216059,2020,SP,4Q,5,H,PED  015  E,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218332,2020,SU,NA,1,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50215919,2020,SP,4Q,8,H,PED  015  D,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217785,2020,SP,4Q,8,H,PED  015  A,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216349,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50216143,2020,SP,4Q,9,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216800,2020,SU,NA,2,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50212061,2020,SU,NA,1,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
40001120,2020,SP,4Q,6,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217737,2020,SP,4Q,5,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50220520,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50215991,2020,SP,4Q,9,H,PED  015  E,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50213520,2020,SP,4Q,3,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50219822,2020,SP,4Q,5,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216942,2020,SU,NA,2,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216525,2020,SP,3Q,5,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50213310,2020,SP,4Q,6,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50137671,2020,SP,4Q,5,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50219428,2020,SP,4Q,6,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217311,2020,SP,4Q,7,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-01-15T00:00:00Z,2019,SP,NA,NA
50216791,2020,SP,4Q,5,D,PED  015  R4,PED015,DISCOVERY: REMOTE,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216880,2020,SP,4Q,5,D,PED  015  R4,PED015,DISCOVERY: REMOTE,NA,2020-01-15T00:00:00Z,2019,SP,NA,NA
50217292,2020,SP,4Q,7,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216530,2020,SP,4Q,6,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216495,2020,SP,4Q,6,D,PED  015  R4,PED015,DISCOVERY: REMOTE,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215091,2020,SP,4Q,7,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216832,2020,SP,4Q,6,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217256,2020,SP,4Q,8,H,PED  015  R4,PED015,DISCOVERY: REMOTE,W,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217971,2020,SP,4Q,8,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50117905,2020,SU,NA,2,H,PED  016  D,PED016,LAVIDA WILDERNESS EXP LATE JULY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50207541,2020,SP,4Q,5,H,PED  015  C,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50216227,2020,SP,4Q,10,H,PED  015  F,PED015,DISCOVERY,W,2020-08-20T00:00:00Z,2020,FA,NA,NA
50220520,2020,SP,4Q,7,D,PED  015  R4,PED015,DISCOVERY: REMOTE,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50210237,2020,SP,4Q,8,H,PED  015  A,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50218488,2020,SP,4Q,7,H,PED  015  D,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215810,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216656,2020,SP,4Q,13,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50212347,2020,SP,4Q,5,H,PED  015  B,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50216668,2020,SP,4Q,10,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215203,2020,SP,4Q,6,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215522,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2020-01-15T00:00:00Z,2019,SP,Second,NA
50218815,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216261,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50217251,2020,SP,3Q,3,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50211163,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-01-15T00:00:00Z,2019,SP,Second,NA
50209859,2020,SP,3Q,6,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
40001132,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50221972,2020,SP,4Q,10,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2021-02-01T00:00:00Z,2020,SP,NA,NA
50215136,2020,SU,NA,2,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216817,2020,SP,4Q,7,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50213309,2020,SP,4Q,6,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216264,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50210972,2020,SP,4Q,10,H,PED  015  E,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50217811,2020,SP,4Q,6,H,PED  015  R4,PED015,DISCOVERY: REMOTE,F,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216128,2020,SU,NA,1,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216557,2020,SP,4Q,2,H,PED  015  D,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50212061,2020,SP,4Q,9,D,PED  015  F,PED015,DISCOVERY,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217604,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216324,2020,SU,NA,2,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50217208,2020,SP,3Q,6,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216270,2020,SP,4Q,3,H,PED  015  D,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218469,2020,SU,NA,4,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50217149,2020,SU,NA,1,D,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50217781,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50215017,2020,SU,NA,3,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50218073,2020,SP,4Q,11,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50214401,2020,SP,4Q,8,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215354,2020,SP,4Q,8,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218540,2020,SP,4Q,11,H,PED  015  R4,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216781,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-02-01T00:00:00Z,2020,SP,First,After
50214411,2020,SP,3Q,10,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218827,2020,SP,4Q,6,D,PED  015  C,PED015,DISCOVERY,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218314,2020,SP,3Q,4,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50214795,2020,SP,4Q,6,H,PED  015  A,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217183,2020,SP,4Q,6,H,PED  015  D,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216264,2020,SP,4Q,8,D,PED  015  D,PED015,DISCOVERY,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216054,2020,SU,NA,4,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50215522,2020,SP,4Q,4,D,PED  015  C,PED015,DISCOVERY,NA,2020-01-15T00:00:00Z,2019,SP,NA,NA
50215152,2020,SP,4Q,3,D,PED  015  A,PED015,DISCOVERY,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215857,2020,SP,4Q,2,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217520,2020,SU,NA,3,H,PED  016  D,PED016,LAVIDA WILDERNESS EXP LATE JULY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216234,2020,SP,4Q,5,D,PED  015  A,PED015,DISCOVERY,NA,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217058,2020,SU,NA,1,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50216422,2020,SP,4Q,6,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216386,2020,SP,4Q,4,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216453,2020,SU,NA,1,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50209416,2020,SU,NA,1,D,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50219034,2020,SU,NA,2,D,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50216175,2020,SP,4Q,4,H,PED  015  C,PED015,DISCOVERY,P,2020-01-15T00:00:00Z,2019,SP,NA,NA
50212347,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2019-08-28T00:00:00Z,2019,FA,Second,NA
50216704,2020,SP,4Q,6,H,PED  015  E,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216345,2020,SP,4Q,5,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216506,2020,SP,4Q,5,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50218073,2020,SU,NA,1,D,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50210177,2020,SP,4Q,3,H,PED  015  A,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50216189,2020,SP,4Q,5,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215052,2020,SP,4Q,5,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50156716,2020,SU,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50211634,2020,SU,NA,5,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2019-08-28T00:00:00Z,2019,FA,Second,NA
50217864,2020,SP,4Q,1,H,PED  015  C,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50215149,2020,SP,3Q,8,H,PED  015  R3,PED015,DISCOVERY: REMOTE,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50219156,2020,SP,4Q,6,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50217662,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50213473,2020,SP,4Q,3,H,PED  015  B,PED015,DISCOVERY,P,2019-08-28T00:00:00Z,2019,FA,NA,NA
50217422,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50219022,2020,SP,4Q,7,H,PED  015  F,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216179,2020,SP,4Q,8,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216045,2020,SU,NA,2,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2020-08-20T00:00:00Z,2020,FA,First,After
50219428,2020,SU,NA,1,D,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50216349,2021,FA,1Q,6,H,PED  015  D,PED015,Discovery,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50216973,2020,SP,4Q,5,H,PED  015  A,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50221802,2020,SP,4Q,5,H,PED  015  E,PED015,DISCOVERY,P,2021-02-01T00:00:00Z,2020,SP,NA,NA
50210237,2020,SU,NA,1,D,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,NA,2019-08-28T00:00:00Z,2019,FA,Second,NA
50214052,2020,SP,4Q,7,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50214317,2020,SU,NA,2,H,PED  016  F,PED016,LAVIDA WILDERNESS EXP EARLY JUNE,P,2019-08-28T00:00:00Z,2019,FA,Second,NA
50216780,2020,SU,NA,2,D,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,NA,2020-08-20T00:00:00Z,2020,FA,First,After
50215310,2020,SU,NA,2,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50221020,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221749,2020,SU,NA,2,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50220795,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221519,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221077,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221562,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221329,2020,SU,NA,1,D,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,NA,2021-08-25T00:00:00Z,2021,FA,First,Before
50119320,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221042,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50220851,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221337,2020,SU,NA,1,H,PED  016  B,PED016,LAVIDA WILDERNESS EXPED JUNE,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221471,2021,FA,1Q,2,H,PED  015  B,PED015,Discovery,P,2021-08-25T00:00:00Z,2021,FA,NA,NA
50222183,2021,FA,1Q,4,H,PED  015  C,PED015,Discovery,P,2021-08-25T00:00:00Z,2021,FA,NA,NA
50119535,2021,FA,1Q,5,H,PED  015  D,PED015,Discovery,P,2021-08-25T00:00:00Z,2021,FA,NA,NA
50220653,2021,FA,1Q,6,H,PED  015  A,PED015,Discovery,P,2021-02-01T00:00:00Z,2020,SP,NA,NA
50221883,2021,FA,1Q,5,H,PED  015  E,PED015,Discovery,P,2021-08-25T00:00:00Z,2021,FA,NA,NA
50212540,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50119203,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50218168,2021,FA,1Q,3,H,PED  015  F,PED015,Discovery,P,2021-02-01T00:00:00Z,2020,SP,NA,NA
50215148,2020,SU,NA,4,H,PED  016  A,PED016,LAVIDA WILDERNESS EXPED MAY,P,2020-08-20T00:00:00Z,2020,FA,First,After
50219059,2020,SP,4Q,8,H,PED  015  B,PED015,DISCOVERY,P,2020-08-20T00:00:00Z,2020,FA,NA,NA
50222465,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50216255,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50222792,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50218993,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221385,2020,SU,NA,1,D,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,NA,2021-08-25T00:00:00Z,2021,FA,First,Before
50121008,2020,SU,NA,2,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
50221593,2020,SU,NA,1,H,PED  016  C,PED016,LAVIDA WILDERNESS EXP EARLY JULY,P,2021-08-25T00:00:00Z,2021,FA,First,Before
